Title,Genres,Movie Rating,Release Year,Movie Plot
Wild Things: Diamonds in the Rough,"Crime, Drama, Mystery",4.5,2005,"Two young women will stop at nothing for one to gain a $4 million inheritance of two priceless diamonds, while two detectives try to thwart their plans, but find complications abound."
Mischief,"Comedy, Romance",6.5,1985,"Guided by James Dean, the eternal symbol of youthful rebellion, a gawky high school student obsessed with the hottest girl in class takes a crash course in teenage coolness from his motorcycle-rebel neighbor."
Screwballs,Comedy,4.6,1983,Frolicking youth comedy about zany high school students set in the 1960s.
Bachelor Party,Comedy,6.3,1984,A soon-to-be-married man's friends throw him the ultimate bachelor party.
Up the Creek,Comedy,5.5,1984,"Bob McGraw is in his 12th year of college, goofing his way through life, until he has to win a river rafting race with three college buddies."
Loverboy,Comedy,6.0,1989,"Randy is still unfocused after 2 years in college. When his dad refuses to keep paying his tuition, he gets a job delivering pizzas. Several alluring cougars pay him $200 for pizza delivery and ""services rendered."" As for their husbands."
The Last American Virgin,"Comedy, Drama, Romance",6.3,1982,"Pizza delivery boy Gary, loudmouth David and hunky Rick are three high school students out to lose their virginity any way they can. Gary falls for transfer student Karen, who gets involved with Rick."
My Tutor,Comedy,5.2,1983,A rich father hires a tutor for his son. The son is a horny teenager and the tutor is a gorgeous blonde. Complications ensue.
Private School,"Comedy, Romance",5.2,1983,Chris from a girls' boarding school loves Jim from a nearby boys' boarding school. Jordan also wants Jim and plays dirty. Jim and two friends visit the girls' school posing as girls.
Tarzan the Ape Man,"Adventure, Drama",3.4,1981,"While on an African expedition with her father, Jane Parker meets Tarzan, and the two become fascinated by each other."
About Schmidt,Drama,7.2,2002,"A recently retired man embarks on a journey to his estranged daughter's wedding, only to discover more about himself and life than he ever expected."
Johnny Be Good,"Comedy, Sport",4.6,1988,"Johnny's the top high-school football player and many colleges want him. His girlfriend, coach and best friend want him in the college, serving themselves most."
Blood and Wine,"Crime, Drama, Thriller",6.0,1996,"A man who has failed as a father and husband commits a heist to make money for his fledging business, but things become complicated when his wife interferes."
Man Trouble,"Comedy, Romance",4.7,1992,A sleazy but affable guard dog trainer is blackmailed to steal a manuscript for a tell-all book from one of his clients.
Get Shorty,"Comedy, Crime, Thriller",6.9,1995,"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job."
Stealing Home,"Drama, Romance, Sport",6.6,1988,Ex-baseball player Billy comes home to receive his childhood darling's ashes.
Heat,"Action, Crime, Drama",5.6,1986,"Las Vegas is the backdrop for all the torrid action of heat, as Burt Reynolds plays the soft-hearted bodyguard who's out to protect his friends."
The Pledge,"Crime, Drama, Mystery",6.8,2001,A retiring police detective pledges to catch the killer of a young child.
Attack Force Z,"Action, Drama, History",5.4,1981,A group of Australian commandos launch a secret mission against Japanese forces in World War II.
No Man's Land,"Crime, Drama, Thriller",6.1,1987,A rookie cop goes undercover and infiltrates a car thief ring.
Cold Heaven,"Drama, Mystery, Thriller",5.1,1991,An adulterous woman's faith in God is tested when her husband dies and miraculously comes back to life.
Mesmerized,Drama,4.7,1985,"An orphaned New Zealand girl married to an older, wealthy businessman learns to deal with his strange sexual desires."
Love at Large,"Comedy, Drama, Mystery",5.7,1990,"Vampish miss Dolan hires hardboiled P.I. Harry Dobbs to tail her shady boyfriend. Harry realizes that the man leads a double life but then his client disappears. Harry teams up with his own tail, P.I. Stella Wynkowski, to clear things up."
Nell,Drama,6.5,1994,"In a remote woodland cabin, a small-town doctor discovers Nell - a beautiful young hermit-woman with many secrets."
Siesta,"Drama, Mystery, Romance",5.5,1987,An American skydiver wakes up in the middle of nowhere in Spain and must recount the last five agonizing days to figure out how she got there.
O'Hara's Wife,"Comedy, Drama",5.1,1982,"A mourning workaholic's deceased wife comes back to haunt him, but in a benevolent way, trying to get him to change his dreary attorney life into a life where he has a relationship with his children and is happier with himself."
Pearl,"Drama, Horror, Thriller",7.0,2022,"In 1918, a young woman on the brink of madness pursues stardom in a desperate attempt to escape the drudgery, isolation, and lovelessness of life on her parents' farm."
X,"Horror, Mystery, Thriller",6.5,2022,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives."
A Night in the Life of Jimmy Reardon,"Comedy, Drama, Romance",5.5,1988,"A charming womanizer must find a way to get $80 to elope to Hawaii with his one true love, or else go to his father's chosen business school."
Just One of the Guys,"Comedy, Romance",6.5,1985,"Terry feels discriminated against when the summer jobs at the Sun Tribune go to two guys. She decides to do something about it. She dresses like a guy and gets a haircut. Will students at the other high school notice? Girls notice ""him""."
Remote Control,"Comedy, Game-Show",7.6,1987–1990,A trio of contestants answer questions and compete in games related to TV and pop culture.
Date with an Angel,"Comedy, Fantasy, Romance",5.6,1987,"An aspiring composer discovers a broken-winged, beautiful angel in his swimming pool. When everyone finds out, he must deal with his jealous fiancé, his future father-in-law, and his friends who have a business plan."
Fast Getaway,"Action, Comedy, Crime",5.3,1991,"A lighthearted tale about a gang of bank robbers who fall out and split up. The brains of the gang is a boy who, with his father, successfully continue their crime spree. Annoyed at this, Lilly and her loyal and stupid companion, decide to kidnap the boy, Nelson, and force him to work for them.—Rob Hartill"
Disorderlies,Comedy,4.9,1987,Three bumbling orderlies are hired to take care of an old rich man. Humorous mayhem follows.
Lucas,"Comedy, Drama, Romance",6.9,1986,"A socially inept fourteen-year-old experiences heartbreak for the first time when his two best friends - Cappie, an older-brother figure, and Maggie, the new girl with whom he is in love - fall for each other."
Dream a Little Dream,"Comedy, Drama, Romance",5.7,1989,An accident puts the consciousness of an elderly dream researcher into the body of a bratty teenager. The problem? The kid prefers dreamworld limbo to real life.
Dance 'Til Dawn,Comedy,6.7,1988,Will prom night live up to the high school seniors' expectations? Will they have the right date? Can they avoid their parents?
License to Drive,Comedy,6.3,1988,A teen decides to go for a night on the town with his friends despite flunking his driver's test.
Ruthless People,"Comedy, Crime",6.9,1986,"A couple cheated by a vile businessman kidnaps his wife in retaliation, not knowing that their enemy is delighted that they did."
"To Die, to Sleep",Drama,6.4,1994,"Two teen-agers besieged by the ubiquitous dangers of alcohol, violence, greed and misguided passion, unknowingly help each other find value in life and in themselves in this poignant tale of saved youth."
Rogue Trader,"Crime, Drama, History",6.4,1999,"The story of Nick Leeson, an ambitious investment broker who singlehandedly bankrupted one of the oldest and most important banks in Britain."
The Statement,"Drama, Thriller",6.2,2003,Tale of a former Nazi executioner who becomes a target of hitmen and police investigators.
In Country,"Drama, Romance, War",5.9,1989,A young girl whose father died in the Vietnam War becomes determined to find out more about him and his experiences.
F.I.S.T.,"Crime, Drama, Thriller",6.4,1978,A rebellious Cleveland warehouse worker rises through the ranks of a trucking industry union to become union president but his organized crime links cause his eventual downfall.
The Portrait,Drama,6.1,1993,"After a long absence, artist Margaret Church returns to the home of her aging parents, Gardner and Fanny Church, to finish a portrait of them, only to find that they have sold the family home and are preparing to move. While coming to grips with the loss of her childhood home and the memories it held, Margaret must deal with many issues ranging from her father's frequent and disturbing memory lapses, to her feelings of isolation from her parents. Fanny and Gardner are totally devoted to each other and absorbed in their love and life together, making their daughter feel left out. While struggling to get her parents to sit still long enough so that she can paint their portrait, Margaret thinks they don't take her or her painting seriously. A conversation with her father makes her finally come to the realization that her parents love her and appreciate her painting career, and that they can't and won't change at their ages. Returning to New York for her premier art showing with the finished portrait, Margaret realizes that she will be a much happier person if she accepts her parents as they are.—E.W. DesMarais <jlongst@aol.com>"
Throw Momma from the Train,"Comedy, Crime, Thriller",6.3,1987,A bitter ex-husband wants his former spouse dead. A put-upon momma's boy wants his mother dead. Who will pull it off?
